libassuan0:amd64	2.5.5-5
libatomic1:amd64	12.2.0-14+deb12u1
libattr1:amd64	1:2.5.1-4
libaudit1:amd64	1:3.0.9-1
libaudit-common	1:3.0.9-1
libavahi-client3:amd64	0.8-10+deb12u1
libavahi-common3:amd64	0.8-10+deb12u1
libavahi-common-data:amd64	0.8-10+deb12u1
libbinutils:amd64	2.40-2
libblkid1:amd64	2.38.1-5+deb12u3
libboost-iostreams1.74.0:amd64	1.74.0+ds1-21
libbpf1:amd64	1:1.1.2-0+deb12u1
libbrotli1:amd64	1.0.9-2+b6
libbrotli-dev:amd64	1.0.9-2+b6
libbsd0:amd64	0.11.7-2
libbz2-1.0:amd64	1.0.8-5+b1
libc6:amd64	2.36-9+deb12u13
libc6-dev:amd64	2.36-9+deb12u13
libcap2:amd64	1:2.66-4+deb12u2
libcap2-bin	1:2.66-4+deb12u2
libcap-ng0:amd64	0.8.3-1+b3
libc-bin	2.36-9+deb12u13
libcbor0.8:amd64	0.8.0-2+b1
libcc1-0:amd64	12.2.0-14+deb12u1
libc-dev-bin	2.36-9+deb12u13
libc-l10n	2.36-9+deb12u13
libcom-err2:amd64	1.47.0-2+b2
libconfig-inifiles-perl	3.000003-2
libcrypt1:amd64	1:4.4.33-2
libcrypt-dev:amd64	1:4.4.33-2
libcryptsetup12:amd64	2:2.6.1-4~deb12u2
libctf0:amd64	2.40-2
libctf-nobfd0:amd64	2.40-2
libcups2:amd64	2.4.2-3+deb12u9
libcurl3-gnutls:amd64	7.88.1-10+deb12u14
libcurl4:amd64	7.88.1-10+deb12u14
libcurl4-openssl-dev:amd64	7.88.1-10+deb12u14
libcwidget4:amd64	0.5.18-6
libdb5.3:amd64	5.3.28+dfsg2-1
libdbi-perl:amd64	1.643-4
libdbus-1-3:amd64	1.14.10-1~deb12u1
libdebconfclient0:amd64	0.270
libdevmapper1.02.1:amd64	2:1.02.185-2
libdevmapper-event1.02.1:amd64	2:1.02.185-2
libdouble-conversion3:amd64	3.2.1-1
libdpkg-perl	1.21.22
libdrm2:amd64	2.4.114-1+b1
libdrm-amdgpu1:amd64	2.4.114-1+b1
libdrm-common	2.4.114-1
libdrm-intel1:amd64	2.4.114-1+b1
libdrm-nouveau2:amd64	2.4.114-1+b1
libdrm-radeon1:amd64	2.4.114-1+b1
libduktape207:amd64	2.7.0-2
libdw1:amd64	0.188-2.1
libeatmydata1:amd64	130-2+b1
libedit2:amd64	3.1-20221030-2
libefiboot1:amd64	37-6
libefivar1:amd64	37-6
libegl1:amd64	1.6.0-1
libegl-mesa0:amd64	22.3.6-1+deb12u1
libelf1:amd64	0.188-2.1
liberror-perl	0.17029-2
libevdev2:amd64	1.13.0+dfsg-1
libexpat1:amd64	2.5.0-1+deb12u2
libexpat1-dev:amd64	2.5.0-1+deb12u2
libext2fs2:amd64	1.47.0-2+b2
libfdisk1:amd64	2.38.1-5+deb12u3
libffi8:amd64	3.4.4-1
libffi-dev:amd64	3.4.4-1
libfido2-1:amd64	1.12.0-2+b1
libfontconfig1:amd64	2.14.1-4
libfreetype6:amd64	2.12.1+dfsg-5+deb12u4
libfreetype6-dev:amd64	2.12.1+dfsg-5+deb12u4
libfreetype-dev:amd64	2.12.1+dfsg-5+deb12u4
libfstrm0:amd64	0.6.1-1
libfuse2:amd64	2.9.9-6+b1
libfuse3-3:amd64	3.14.0-4
libgbm1:amd64	22.3.6-1+deb12u1
libgcc-12-dev:amd64	12.2.0-14+deb12u1
libgcc-s1:amd64	12.2.0-14+deb12u1
libgcrypt20:amd64	1.10.1-3
libgdbm6:amd64	1.23-3
libgdbm-compat4:amd64	1.23-3
libgirepository-1.0-1:amd64	1.74.0-3
libgl1:amd64	1.6.0-1
libgl1-mesa-dri:amd64	22.3.6-1+deb12u1
libglapi-mesa:amd64	22.3.6-1+deb12u1
libglib2.0-0:amd64	2.74.6-2+deb12u7
libglib2.0-bin	2.74.6-2+deb12u7
libglib2.0-data	2.74.6-2+deb12u7
libglvnd0:amd64	1.6.0-1
libglx0:amd64	1.6.0-1
libglx-mesa0:amd64	22.3.6-1+deb12u1
libgmp10:amd64	2:6.2.1+dfsg1-1.1
libgnutls30:amd64	3.7.9-2+deb12u5
libgomp1:amd64	12.2.0-14+deb12u1
libgpg-error0:amd64	1.46-1
libgpm2:amd64	1.20.7-10+b1
libgprofng0:amd64	2.40-2
libgraphite2-3:amd64	1.3.14-1
libgssapi-krb5-2:amd64	1.20.1-2+deb12u4
libgstreamer1.0-0:amd64	1.22.0-2+deb12u1
libgstreamer-plugins-base1.0-0:amd64	1.22.0-3+deb12u5
libgudev-1.0-0:amd64	237-2
libharfbuzz0b:amd64	6.0.0+dfsg-3
libhogweed6:amd64	3.8.1-2
libhyphen0:amd64	2.8.8-7
libice6:amd64	2:1.0.10-1
libicu72:amd64	72.1-3+deb12u1
libicu-dev:amd64	72.1-3+deb12u1
libidn2-0:amd64	2.3.3-1+b1
libinih1:amd64	55-1
libinput10:amd64	1.22.1-1
libinput-bin	1.22.1-1
libip4tc2:amd64	1.8.9-2
libip6tc2:amd64	1.8.9-2
libisl23:amd64	0.25-1.1
libitm1:amd64	12.2.0-14+deb12u1
libjansson4:amd64	2.14-2
libjemalloc2:amd64	5.3.0-1
libjpeg62-turbo:amd64	1:2.1.5-2
libjpeg62-turbo-dev:amd64	1:2.1.5-2
libjpeg-dev:amd64	1:2.1.5-2
libjq1:amd64	1.6-2.1+deb12u1
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjson-c5:amd64	0.16-2
libjs-sphinxdoc	5.3.0-4
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libk5crypto3:amd64	1.20.1-2+deb12u4
libkeyutils1:amd64	1.6.3-2
libklibc:amd64	2.0.12-1
libkmod2:amd64	30+20221128-1
libkrb5-3:amd64	1.20.1-2+deb12u4
libkrb5support0:amd64	1.20.1-2+deb12u4
libksba8:amd64	1.6.3-2
liblcms2-2:amd64	2.14-2
liblcms2-dev:amd64	2.14-2
libldap-2.5-0:amd64	2.5.13+dfsg-5
libldap2-dev	2.5.13+dfsg-5
libldap-common	2.5.13+dfsg-5
libldap-dev:amd64	2.5.13+dfsg-5
libllvm15:amd64	1:15.0.6-4+b1
liblmdb0:amd64	0.9.24-1
liblocale-gettext-perl	1.07-5
liblockfile-bin	1.17-1+b1
liblsan0:amd64	12.2.0-14+deb12u1
liblvm2cmd2.03:amd64	2.03.16-2
liblz4-1:amd64	1.9.4-1
liblzf1:amd64	3.6-3
liblzma5:amd64	5.4.1-1
liblzo2-2:amd64	2.10-2
libmagic1:amd64	1:5.44-3
libmagic-mgc	1:5.44-3
libmariadb3:amd64	1:10.11.14-0+deb12u2
libmariadb-dev	1:10.11.14-0+deb12u2
libmariadb-dev-compat	1:10.11.14-0+deb12u2
libmaxminddb0:amd64	1.7.1-1
libmd0:amd64	1.0.4-2
libmd4c0:amd64	0.4.8-1
libmnl0:amd64	1.0.4-3
libmount1:amd64	2.38.1-5+deb12u3
libmpc3:amd64	1.3.1-1
libmpfr6:amd64	4.2.0-1
libmtdev1:amd64	1.1.6-1
libncurses6:amd64	6.4-4
libncursesw6:amd64	6.4-4
libnetfilter-conntrack3:amd64	1.0.9-3
libnettle8:amd64	3.8.1-2
libnewt0.52:amd64	0.52.23-1+b1
libnfnetlink0:amd64	1.0.2-2
libnftables1:amd64	1.0.6-2+deb12u2
libnftnl11:amd64	1.2.4-2
libnghttp2-14:amd64	1.52.0-1+deb12u2
libnl-3-200:amd64	3.7.0-0.2+b1
libnl-genl-3-200:amd64	3.7.0-0.2+b1
libnpth0:amd64	1.6-3
libnsl2:amd64	1.3.0-2
libnsl-dev:amd64	1.3.0-2
libnss-systemd:amd64	252.39-1~deb12u1
libnuma1:amd64	2.0.16-1
libonig5:amd64	6.9.8-1
liborc-0.4-0:amd64	1:0.4.33-2
libp11-kit0:amd64	0.24.1-2
libpackagekit-glib2-18:amd64	1.2.6-5
libpam0g:amd64	1.5.2-6+deb12u1
libpam-modules:amd64	1.5.2-6+deb12u1
libpam-modules-bin	1.5.2-6+deb12u1
libpam-runtime	1.5.2-6+deb12u1
libpam-systemd:amd64	252.39-1~deb12u1
libpciaccess0:amd64	0.17-2
libpcre2-16-0:amd64	10.42-1
libpcre2-8-0:amd64	10.42-1
libperl5.36:amd64	5.36.0-7+deb12u3
libpipeline1:amd64	1.5.7-1
libpng16-16:amd64	1.6.39-2
libpng-dev:amd64	1.6.39-2
libpolkit-agent-1-0:amd64	122-3
libpolkit-gobject-1-0:amd64	122-3
libpopt0:amd64	1.19+dfsg-1
libpq5:amd64	15.14-0+deb12u1
libpq-dev	15.14-0+deb12u1
libproc2-0:amd64	2:4.0.2-3
libprotobuf-c1:amd64	1.4.1-1+b1
libpsl5:amd64	0.21.2-1
libpython3.11:amd64	3.11.2-6+deb12u6
libpython3.11-dev:amd64	3.11.2-6+deb12u6
libpython3.11-minimal:amd64	3.11.2-6+deb12u6
libpython3.11-stdlib:amd64	3.11.2-6+deb12u6
libpython3-dev:amd64	3.11.2-1+b1
libpython3-stdlib:amd64	3.11.2-1+b1
libqt5core5a:amd64	5.15.8+dfsg-11+deb12u3
libqt5dbus5:amd64	5.15.8+dfsg-11+deb12u3
libqt5gui5:amd64	5.15.8+dfsg-11+deb12u3
libqt5network5:amd64	5.15.8+dfsg-11+deb12u3
libqt5positioning5:amd64	5.15.8+dfsg-3+deb12u1
libqt5printsupport5:amd64	5.15.8+dfsg-11+deb12u3
libqt5qml5:amd64	5.15.8+dfsg-3
libqt5qmlmodels5:amd64	5.15.8+dfsg-3
libqt5quick5:amd64	5.15.8+dfsg-3
libqt5sensors5:amd64	5.15.8-2
libqt5svg5:amd64	5.15.8-3
libqt5webchannel5:amd64	5.15.8-2
libqt5webkit5:amd64	5.212.0~alpha4-30
libqt5widgets5:amd64	5.15.8+dfsg-11+deb12u3
libquadmath0:amd64	12.2.0-14+deb12u1
libreadline8:amd64	8.2-1.3
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2+b2
libsasl2-2:amd64	2.1.28+dfsg-10
libsasl2-dev	2.1.28+dfsg-10
libsasl2-modules:amd64	2.1.28+dfsg-10
libsasl2-modules-db:amd64	2.1.28+dfsg-10
libseccomp2:amd64	2.5.4-1+deb12u1
libselinux1:amd64	3.4-1+b6
libsemanage2:amd64	3.4-1+b5
libsemanage-common	3.4-1
libsensors5:amd64	1:3.6.0-7.1
libsensors-config	1:3.6.0-7.1
libsepol2:amd64	3.4-2.1
libsigc++-2.0-0v5:amd64	2.12.0-1
libsigsegv2:amd64	2.14-1
libslang2:amd64	2.3.3-3
libsm6:amd64	2:1.2.3-1
libsmartcols1:amd64	2.38.1-5+deb12u3
libsodium23:amd64	1.0.18-1
libsqlite3-0:amd64	3.40.1-2+deb12u2
libss2:amd64	1.47.0-2+b2
libssh2-1:amd64	1.10.0-3+b1
libssl3:amd64	3.0.17-1~deb12u3
libssl-dev:amd64	3.0.17-1~deb12u3
libstdc++-12-dev:amd64	12.2.0-14+deb12u1
libstdc++6:amd64	12.2.0-14+deb12u1
libstemmer0d:amd64	2.2.0-2
libsystemd0:amd64	252.39-1~deb12u1
libsystemd-shared:amd64	252.39-1~deb12u1
libtasn1-6:amd64	4.19.0-2+deb12u1
libtext-charwidth-perl:amd64	0.04-11
libtext-iconv-perl:amd64	1.7-8
libtext-wrapi18n-perl	0.06-10
libtinfo6:amd64	6.4-4
libtirpc3:amd64	1.3.3+ds-1
libtirpc-common	1.3.3+ds-1
libtirpc-dev:amd64	1.3.3+ds-1
libtsan2:amd64	12.2.0-14+deb12u1
libubsan1:amd64	12.2.0-14+deb12u1
libuchardet0:amd64	0.0.7-1
libudev1:amd64	252.39-1~deb12u1
libunistring2:amd64	1.0-2
libunwind8:amd64	1.6.2-3
liburcu8:amd64	0.13.2-1
liburing2:amd64	2.3-3
libuuid1:amd64	2.38.1-5+deb12u3
libuv1:amd64	1.44.2-1+deb12u1
libwacom9:amd64	2.6.0-1
libwacom-common	2.6.0-1
libwayland-client0:amd64	1.21.0-1
libwayland-server0:amd64	1.21.0-1
libwebp7:amd64	1.2.4-0.2+deb12u1
libwebpdemux2:amd64	1.2.4-0.2+deb12u1
libwebp-dev:amd64	1.2.4-0.2+deb12u1
libwebpmux3:amd64	1.2.4-0.2+deb12u1
libwoff1:amd64	1.0.2-2
libwrap0:amd64	7.6.q-32
libx11-6:amd64	2:1.8.4-2+deb12u2
libx11-data	2:1.8.4-2+deb12u2
libx11-xcb1:amd64	2:1.8.4-2+deb12u2
libxapian30:amd64	1.4.22-1
libxau6:amd64	1:1.0.9-1
libxcb1:amd64	1.15-1
libxcb-dri2-0:amd64	1.15-1
libxcb-dri3-0:amd64	1.15-1
libxcb-glx0:amd64	1.15-1
libxcb-icccm4:amd64	0.4.1-1.1
libxcb-image0:amd64	0.4.0-2
libxcb-keysyms1:amd64	0.4.0-1+b2
libxcb-present0:amd64	1.15-1
libxcb-randr0:amd64	1.15-1
libxcb-render0:amd64	1.15-1
libxcb-render-util0:amd64	0.3.9-1+b1
libxcb-shape0:amd64	1.15-1
libxcb-shm0:amd64	1.15-1
libxcb-sync1:amd64	1.15-1
libxcb-util1:amd64	0.4.0-1+b1
libxcb-xfixes0:amd64	1.15-1
libxcb-xinerama0:amd64	1.15-1
libxcb-xinput0:amd64	1.15-1
libxcb-xkb1:amd64	1.15-1
libxdmcp6:amd64	1:1.1.2-3
libxext6:amd64	2:1.3.4-1+b1
libxfixes3:amd64	1:6.0.0-2
libxkbcommon0:amd64	1.5.0-1
libxkbcommon-x11-0:amd64	1.5.0-1
libxml2:amd64	2.9.14+dfsg-1.3~deb12u4
libxml2-dev:amd64	2.9.14+dfsg-1.3~deb12u4
libxmlb2:amd64	0.3.10-2
libxrender1:amd64	1:0.9.10-1.1
libxshmfence1:amd64	1.3-1
libxslt1.1:amd64	1.1.35-1+deb12u3
libxslt1-dev:amd64	1.1.35-1+deb12u3
libxtables12:amd64	1.8.9-2
libxxf86vm1:amd64	1:1.1.4-1+b2
libxxhash0:amd64	0.8.1-1
libyaml-0-2:amd64	0.2.5-1
libz3-4:amd64	4.8.12-3.1
libzstd1:amd64	1.5.4+dfsg2-5
linux-base	4.9
linux-image-6.1.0-38-amd64	6.1.147-1
linux-image-6.1.0-39-amd64	6.1.148-1
linux-image-6.1.0-40-amd64	6.1.153-1
linux-image-amd64	6.1.153-1
linux-libc-dev:amd64	6.1.153-1
locales	2.36-9+deb12u13
locales-all	2.36-9+deb12u13
login	1:4.13+dfsg1-1+deb12u1
logrotate	3.21.0-1
logsave	1.47.0-2+b2
lsb-release	12.0-1
lsof	4.95.0-1
lvm2	2.03.16-2
make	4.3-4.1
man-db	2.11.2-2
manpages	6.03-2
mariadb-client	1:10.11.14-0+deb12u2
mariadb-client-core	1:10.11.14-0+deb12u2
mariadb-common	1:10.11.14-0+deb12u2
mariadb-server	1:10.11.14-0+deb12u2
mariadb-server-core	1:10.11.14-0+deb12u2
mawk	1.3.4.20200120-3.1
mdadm	4.2-5
media-types	10.0.0
mokutil	0.6.0-2
mount	2.38.1-5+deb12u3
mtr-tiny	0.95-1
mysql-common	5.8+1.1.0
nano	7.2-1+deb12u1
ncurses-base	6.4-4
ncurses-bin	6.4-4
ncurses-term	6.4-4
netbase	6.4
netcat-traditional	1.10-47
net-tools	2.10-0.1+deb12u2
nftables	1.0.6-2+deb12u2
nginx	1.22.1-9+deb12u3
nginx-common	1.22.1-9+deb12u3
nodejs	18.20.8-1nodesource1
openssh-client	1:9.2p1-2+deb12u7
openssh-server	1:9.2p1-2+deb12u7
openssh-sftp-server	1:9.2p1-2+deb12u7
openssl	3.0.17-1~deb12u3
os-prober	1.81
packagekit	1.2.6-5
passwd	1:4.13+dfsg1-1+deb12u1
patch	2.7.6-7
perl	5.36.0-7+deb12u3
perl-base	5.36.0-7+deb12u3
perl-modules-5.36	5.36.0-7+deb12u3
pinentry-curses	1.2.1-1
pipx	1.1.0-1
polkitd	122-3
procps	2:4.0.2-3
psmisc	23.6-1
publicsuffix	20230209.2326-1
python3.11	3.11.2-6+deb12u6
python3.11-dev	3.11.2-6+deb12u6
python3.11-minimal	3.11.2-6+deb12u6
python3.11-venv	3.11.2-6+deb12u6
python3	3.11.2-1+b1
python3-acme	2.1.0-1
python3-apt	2.6.0
python3-argcomplete	2.0.0-1
python3-attr	22.2.0-1
python3-blinker	1.5-1
python3-certbot	2.1.0-4
python3-certbot-nginx	2.1.0-2
python3-certifi	2022.9.24-1
python3-cffi-backend:amd64	1.15.1-5+b1
python3-chardet	5.1.0+dfsg-2
python3-charset-normalizer	3.0.1-2
python3-click	8.1.3-2
python3-colorama	0.4.6-2
python3-configargparse	1.5.3-1
python3-configobj	5.0.8-1
python3-cryptography	38.0.4-3+deb12u1
python3-dbus	1.3.2-4+b1
python3-debian	0.1.49
python3-debianbts	4.0.1
python3-dev	3.11.2-1+b1
python3-distro	1.8.0-1
python3-distro-info	1.5+deb12u1
python3-distutils	3.11.2-3
python3-dnspython	2.3.0-1
python3-gi	3.42.2-3+b1
python3-httplib2	0.20.4-3
python3-idna	3.3-1+deb12u1
python3-jinja2	3.1.2-1+deb12u3
python3-josepy	1.13.0-1
python3-jsonpatch	1.32-2
python3-json-pointer	2.3-2
python3-jsonschema	4.10.3-1
python3-jwt	2.6.0-1
python3-lazr.restfulclient	0.14.5-1
python3-lazr.uri	1.0.6-3
python3-lib2to3	3.11.2-3
python3-markupsafe	2.1.2-1+b1
python3-minimal	3.11.2-1+b1
python3-netaddr	0.8.0-2
python3-netifaces:amd64	0.11.0-2+b1
python3-oauthlib	3.2.2-1
python3-openssl	23.0.0-1
python3-packaging	23.0-1
python3-parsedatetime	2.6-3
python3-pip	23.0.1+dfsg-1
python3-pip-whl	23.0.1+dfsg-1
python3-pkg-resources	66.1.1-1+deb12u2
python3-pycurl	7.45.2-3
python3-pyparsing	3.0.9-1
python3-pyrsistent:amd64	0.18.1-1+b3
python3-pysimplesoap	1.16.2-5
python3-reportbug	12.0.0
python3-requests	2.28.1+dfsg-1
python3-resolvelib	0.9.0-2
python3-rfc3339	1.1-4
python3-serial	3.5-1.1
python3-setuptools	66.1.1-1+deb12u2
python3-setuptools-whl	66.1.1-1+deb12u2
python3-six	1.16.0-4
python3-software-properties	0.99.30-4.1~deb12u1
python3-tz	2022.7.1-4
python3-urllib3	1.26.12-1+deb12u1
python3-userpath	1.8.0-1
python3-venv	3.11.2-1+b1
python3-wadllib	1.3.6-4
python3-wheel	0.38.4-2
python3-yaml	6.0-3+b2
python-apt-common	2.6.0
qemu-guest-agent	1:7.2+dfsg-7+deb12u16
qemu-utils	1:7.2+dfsg-7+deb12u16
readline-common	8.2-1.3
redis-server	5:7.0.15-1~deb12u6
redis-tools	5:7.0.15-1~deb12u6
reportbug	12.0.0
resolvconf	1.91+nmu1
rpcsvc-proto	1.4.3-1
rsync	3.2.7-1+deb12u2
runit-helper	2.15.2
sed	4.9-1
sensible-utils	0.0.17+nmu1
sgml-base	1.31
shared-mime-info	2.2-1
shim-helpers-amd64-signed	1+15.8+1~deb12u1
shim-signed:amd64	1.44~1+deb12u1+15.8-1~deb12u1
shim-signed-common	1.44~1+deb12u1+15.8-1~deb12u1
shim-unsigned:amd64	15.8-1~deb12u1
socat	1.7.4.4-2
software-properties-common	0.99.30-4.1~deb12u1
ssh-import-id	5.10-1
sudo	1.9.13p3-1+deb12u2
supervisor	4.2.5-1
systemd	252.39-1~deb12u1
systemd-sysv	252.39-1~deb12u1
systemd-timesyncd	252.39-1~deb12u1
sysvinit-utils	3.06-4
tar	1.34+dfsg-1.2+deb12u1
task-english	3.73
tasksel	3.73
tasksel-data	3.73
task-ssh-server	3.73
traceroute	1:2.1.2-1
tree	2.1.0-1
tzdata	2025b-0+deb12u2
ucf	3.0043+nmu1+deb12u1
udev	252.39-1~deb12u1
unattended-upgrades	2.9.1+nmu3
unzip	6.0-28
usr-is-merged	37~deb12u1
util-linux	2.38.1-5+deb12u3
util-linux-extra	2.38.1-5+deb12u3
util-linux-locales	2.38.1-5+deb12u3
vim	2:9.0.1378-2+deb12u2
vim-common	2:9.0.1378-2+deb12u2
vim-runtime	2:9.0.1378-2+deb12u2
vim-tiny	2:9.0.1378-2+deb12u2
wget	1.21.3-1+deb12u1
whiptail	0.52.23-1+b1
wkhtmltopdf	0.12.6-2+b1
x11-common	1:7.7+23
xdg-user-dirs	0.18-1
xfsprogs	6.1.0-1
xkb-data	2.35.1-1
xml-core	0.18+nmu1
xz-utils	5.4.1-1
zlib1g:amd64	1:1.2.13.dfsg-1
zlib1g-dev:amd64	1:1.2.13.dfsg-1
zstd	1.5.4+dfsg2-5
